Body,Type,Star
Mars,Planet,Sun
Mercury,Planet,Sun
Venus,Planet,Sun
Amalthea,Moon,Jupiter
Ariel,Moon,Uranus
Callisto,Moon,Jupiter
Charon,Moon,Pluto
Deimos,Moon,Mars
Dione,Moon,Saturn
Enceladus,Moon,Saturn
Epimetheus,Moon,Saturn
Europa,Moon,Jupiter
Ganymede,Moon,Jupiter
Hyperion,Moon,Saturn
Iapetus,Moon,Saturn
Io,Moon,Jupiter
Janus,Moon,Saturn
Mimas,Moon,Saturn
Miranda,Moon,Uranus
Moon,Moon,Earth
Oberon,Moon,Uranus
Phobos,Moon,Mars
Phoebe,Moon,Saturn
Proteus,Moon,Neptune
Puck,Moon,Uranus
Rhea,Moon,Saturn
Tethys,Moon,Saturn
Thebe,Moon,Jupiter
Titan,Moon,Saturn
Titania,Moon,Uranus
Triton,Moon,Neptune
Umbriel,Moon,Uranus
Ceres,Dwarf planet,Sun
Pluto,Dwarf planet,Sun
Dactyl,Asteroid,
Eros,Asteroid,
Gaspra,Asteroid,
Ida,Asteroid,
Itokawa,Asteroid,
Lutetia,Asteroid,
Mathilde,Asteroid,
Ryugu,Asteroid,
Steins,Asteroid,
Vesta,Asteroid,