Janice,87.3,261.98,10,f1,P,6050.525,,,
Hua Mulan,86.8,337.7,24,f2,I,6050.434,,,
Tatyana,85.4,212.4,19,f1,?,6050.572,,,
Landowska,84.57,74.3,33,p,P,6050.308,,,
Ruslanova,83.94,16.6,44.3,p,P,6050.548,,,"103,"
Sveta,82.459,273.21,21,f1,P,6051.272,41;48;48,75N209;75N254;75N299,
,81.7,85,11.5,f2,"S,F",,,,
,81.62,84.97,2,p,S,6050.6,"16,69,100;22,69;30",75N029;75N074;75N119,
Odilia,81.236,200.172,20.8,p,Ic,6050.798,41;48,75N209;75N254,
Lagerlof,81.188,285.158,56,vmp,D,6051.575,48,"75N254,75N299",
Efimova,80.959,223.352,26.5,p,P,6050.726,41;48,75N209;75N254,
Tursunoy,80.944,229.312,4.7,p,I,6051.067,41;48,75N209;75N254,
Eugenia,80.576,105.432,6,p,M,6050.636,"22,69",75N074,
 ,80.018,229.447,6.2,p,M,6051.006,41;48,75N209;75N254,
,78.637,270.311,2.5,p,I,6051.108,48;48,75N254;75N299,
Nuon,78.605,336.602,6.5,p,M,6051.818,69,75N338,
Rudneva,78.428,174.723,29.8,p,P,6051.563,37;41,75N164;75N209,
Dashkova,78.237,306.484,45.1,p,P,6053.075,"48;14,69;100",75N299;75N338;75N344,
Gina,78.09,76.536,14.6,p,P,6050.524,"22,69",75N074,
Klenova,78.086,104.488,141,p,B,6051.034,22;30,75N074;75N119,
Tunde,76.792,193.034,16.3,p,M,6051.585,37;41,75N164;75N209,
Fernandez,76.238,17.155,23.7,p,"S,F",6054.299,"16,69,100;14,43;100",75N029;75N338;75N344,"103,"
Deledda,76,127.5,32,p,P,6051.337,,Venera only,
Ulrique,75.902,55.593,19.6,p,P,6051.34,"16,69,100;22,69",75N029;75N074,"103,"
,75.642,242.436,1.7,p,I,6052.34,48,75N254,
Radka,75.608,96.34,10.5,p,P,6051.467,"22,69;30",75N074;75N119,
Valborg,75.512,272.051,20,p,P,6051.638,48,75N254;75N299,
Volkova,75.161,242.173,47.5,p,P,6052.223,48,75N254,
Dickinson,74.613,177.196,67.5,p,P,6051.774,37;41,75N164;75N209,
Sayligul,73.556,172.94,4.3,p,M,6051.731,37,75N164,
Batya,72.748,235.447,9.3,p,I,6051.515,48,75N254,
Grazina,72.448,337.474,16.5,f2,P,6056.286,"14,69;100",75N338;75N344,
Monika,72.289,122.373,25.5,p,P,6051.815,30,75N119,
Miovasu,72.12,99.951,4.5,p,M,6052.011,"22,69;30",75N074;75N119,
Erika,71.984,175.384,10.5,p,I,6051.554,37,75N164,
Wanda,71.244,323.145,21.7,p,P,6054.809,"48;14,69;100",75N299;75N338;75N344,
Faina,71.121,100.727,10,v3,I,6052.938,"22,69;30",75N074;75N119,
Osipenko,71,321,30,*,P,6055.628,,,
Rita,70.97,334.8,8.3,p,Ic,6055.178,"14,69;100",75N338;75N344,
Cotton,70.758,300.197,48.1,p,D,6052.815,48,75N299,
Obukhova,70.724,289.691,46,p,D,6051.934,48,75N299,
La Fayette,70.194,107.614,39.6,p,P,6051.446,30,75N119,
Evangeline,69.619,221.921,16,p,P,6051.311,41,75N209,
Zoya,69.125,236.209,20,p,P,6051.234,48,75N254,
Radmila,69.088,167.041,5.2,p,I,6050.419,37,75N164,
Tolgonay,68.796,271.114,4.6,p,M,6051.66,48,75N254,
Gloria,68.498,94.194,20.7,vs?,P,6052.331,"22,69",75N074,"109,"
Selma,68.485,155.869,11.4,p,Ic,6050.555,37,75N164,
Jadwiga,68.387,91.049,12.7,p,P,6051.878,"22,69",75N074,"109,"
Ivka,68.206,303.831,14.9,p,P,6052.594,48,75N299,
Frida,68.172,55.602,21.6,p,P,6053.685,"22,69",75N074,"109,"
Duncan,68.082,291.697,40.3,p,P,6051.476,48,75N299,
,67.635,157.185,1.5,p,Ic,6050.319,37,75N164,
Natalia,67.077,272.933,10.8,p,"I,P",6051.794,41;47,60N263;60N291,
Magda,67.041,329.675,10.1,p,M,6055.229,"48;14,54,69,113",60N319;60N347,
,66.964,297.17,3.3,p,I,6051.504,48,75N299,
Zhilova,66.349,125.744,53,p,D,6052.448,21,60N125,
Hapei,66.118,177.973,4.2,p,M,6050.741,30,60N180,
Cleopatra,65.815,7.077,105,p,D,6058.02,"12,115;14,54,69,113",60N014;60N347,"108,"
Jex-Blake,65.369,169.276,31.6,p,P,6050.111,31;30,60N153;60N180,
Zdravka,65.064,299.047,12.5,p,I,6051.476,47;48,60N291;60N319,
Zlata,64.63,333.918,7,f1,M,6055.091,"48;14,54,69,113",60N319;60N347,
Tsvetayeva,64.597,147.403,42.9,p,"M,P",6050.872,31,60N153,
Esmeralda,64.435,104.516,9.8,p,M,6052.046,"21,97,89",60N097,
Koidula,64.242,139.575,67,vp,"S,F",6051.906,"21,31","60N125,60N153",
Indira,64.136,289.815,16.6,p,P,6050.96,47,60N291,
Rani,64.095,160.363,10.7,p,"M,P",6049.868,31,60N153,
Sigrid,63.555,314.394,16.1,p,"S,F",6053.97,48,60N319,
Hamuda,62.914,2.567,15.8,f1,P,,115,60N014,
Rafiga,62.891,175.589,5.7,p,S,6050.651,30,60N180,
Baker,62.516,40.318,109,f1,D,6054.17,115,60N042,"108,"
Roptyna,62.171,28.994,11.5,f1?,I,6054.263,"12,115;16,115",60N014;60N042,
Lyudmila,62.128,329.672,14.1,p,S,6054.537,"48;14,54,69,113",60N319;60N347,
Berta,62,322,20,p,*,6054.146,48,60N319,
Outi,61.64,267.684,10.5,p,S,6051.269,41,60N263,
Tamara,61.63,317.315,11.9,f1,S,6054.463,48,60N319,
Akhmatova,61.349,307.885,41.4,f1,D,6051.688,47;48,60N291;60N319,
Barsova,61.346,222.972,76,p,D,6051.417,37,60N208,
Kumudu,61.261,154.09,4.4,p,M,6050.181,31,60N153,
Masha,60.709,88.553,6.4,p,M,6051.486,"21,97,89",60N097,"109,"
Volyana,60.636,359.938,5.3,p,"Ic?,P",6053.015,14,60N347,
,60.412,137.152,1.7,p,M,6051.613,21;31,60N125;60N153,
Ermolova,60.298,154.419,60.9,p,D,6050.479,31,60N153,
Golubkina,60.287,286.472,28.4,p,P,6051.078,47,60N291,
Margit,60.07,273.128,14,p,P,6051.294,41,60N263,
Sandugach,59.9,143.5,10,f1,M,6051.126,31,60N153,
Goppert-Mayer,59.669,26.832,33.5,f1,P,6052.313,"12,115;16,115",60N014;60N042,"116,"
Fedorets,59.667,65.594,57.6,p,P,6051.338,"19,89",60N070,
Montessori,59.418,279.991,42.1,p,P,6051.092,47,60N291,
Hull,59.401,263.553,47.3,p,D,6051.441,41,60N263,
Elizabeth,59.145,215.408,10.5,p,M,6051.628,37;40,60N208;60N236,
Kavtora,59.047,23.329,9.8,p,Ic,6053.745,"12,115",60N014,"116,"
Magnani,58.616,337.208,26.4,p,P,6054.31,"14,54,69,113",60N347,
Yetta,58.562,185.38,9,p,P,6050.979,30,60N180,
Katya,57.802,285.734,10.5,p,P,6051.103,47,60N291,
Kartini,57.793,333.039,23.4,p,I,6052.666,"48;14,54,69,113",60N319;60N347,
,57.788,22.461,1.8,p,M,6053.609,"12,115",60N014,"116,"
Bineta,57.271,144.111,10.7,p,P,6051.387,31,60N153,
Ezraela,57.04,186.764,7.8,p,I,6050.792,30,60N180,
Rossetti,56.962,6.416,23.4,f2,"S,F",6054.791,"12,115",60N014,"116,"
Orlova,56.467,234.973,19.6,f1,P?,6051.623,40,60N236,
Lorelei,55.685,243.956,15,p,M,6050.944,,,
Wharton,55.656,61.898,50.4,vc1,D,6051.403,"19,89",60N070,
Lonsdale,55.602,222.353,43,vm,P,6051.44,37,60N208,
 ,55.1,350.6,4.3,p,M,6051.771,"14,54,69,113",60N347,
,55.008,124.47,3.2,p,M,6051.488,21,60N125,
Wynne,55,53.6,10,f1,I,6052.246,"16,115",60N042,"117,"
Khadako,54.228,139.359,7.4,f1,P,6052.108,21;31,60N125;60N153,
Hayasi,53.766,243.878,43.1,p,D,6051.003,40,60N236,
Ahava,53.564,187.299,10.4,p,M,6050.985,30,60N180,
Unay,53.487,172.671,11.4,p,Ic,6050.848,30,60N180,
Marysya,53.3,75.1,6.3,p,M,6051.249,"19,89",60N070,
Sevigne,52.625,326.474,29.6,p,P,6050.999,48,60N319,
Kelila,52.577,191.753,5,p,M,6051.178,30,60N180,
,52.5,298.8,4,p,M,6050.865,47,60N291,
,52.072,123.21,3.2,p,M,6051.536,"21,97,79",45N117,
Cochran,51.856,143.364,100,p,D,6051.433,21;31,45N138;60N153,
Johnson,51.831,254.617,24.5,p,P,6051.541,40;41,45N244;45N265,
Firuza,51.8,108,6,p,I,6051.016,"20,97,61,114;21,97,79",45N096;45N117,
Undset,51.65,60.8,20,p,P,6051.236,16,45N053;1,
,51.4,7.9,4.4,p,M,6052.008,14,45N011,"116,"
Irinuca,51.4,121.9,8,p,I,6051.812,"21,97,79",45N117,
Dolores,51.4,201.6,12.6,p,P,6051.397,31,45N202,
Olya,51.4,291.8,13.4,p,"S,F",6050.509,47,45N286,
Stefania,51.29,333.313,11.7,p,S,6051.516,"47,60,79",45N329,
Lotta,51.06,335.909,11.8,p,"I,P",6051.434,"47,60,79",45N329,
Julie,50.9,242.6,13.5,p,S,6051.105,40,45N244,
Rampyari,50.6,179.3,7.7,p,I,6050.683,"30,117",45N180,
Bahriyat,50.3,357.5,5,p,M,6051.562,"12,88",45N350,
Lind,50.22,355.027,25.8,p,P,6051.5,"12,88",45N350,
Aftenia,49.991,323.912,7,p,M,6050.538,"60,79",45N329,
Ytunde,49.884,81.126,6.1,p,M,6051.559,"20,113",45N074,
Nana,49.8,75.4,8.7,p,P,6051.342,"20,113",45N074,
Irene,49.8,134,13.6,p,P,6052.024,"21,115",45N138,
Kauffman,49.437,27.112,25.5,p,P,6053.116,"12,54,116",45N032,
Laura,48.911,141.184,17.2,p,"M,P",6051.617,"21,115",45N138,
Zivile,48.845,113.13,13.5,p,S,6051.824,"21,97,79",45N117,
Brooke,48.44,296.604,22.9,p,P,6050.502,47;47,45N286;45N307,
Raymonde,48.369,191.524,5.3,p,I,6051.408,"31;30,117",45N202;45N180,
Nicole,48.359,259.285,6.4,p,I,6050.951,41,45N265,
Conway,48.327,39.014,49.3,vhp1,P,6052.893,"54,116",45N032,"117,"
Yablochkina,48.265,195.31,64.3,p,D,6051.465,31,45N202,
Kemble,47.728,14.927,23.6,f1,P,6051.733,14,45N001,
Galina,47.6,307.1,16.8,p,M,6050.647,47,45N307,"38,"
Deken,47.132,288.482,48,fc,D,6050.508,47,45N286,
,47.1,6.9,4.5,p,S,6052.02,14,45N011,
Cather,47.091,107.029,24.6,vmp1,"M,F",6051.536,"20,97,61,114;21,97,79",45N096;45N117,
,46.957,263.506,2,p,M, ,41,45N265,
Almeida,46.6,123.3,15.5,e,P,6051.898,"21,97,79",45N117,
Jaantje,46.546,123.085,7.8,p,P,6052.06,"21,97,79",45N117,
Valentina,46.384,144.083,24.6,p,P,6051.662,"21,115",45N138,
Jamila,45.841,134.773,7.9,p,M,6051.673,"21,115",45N138,
Terhi,45.713,253.094,10.7,p,M,6051.072,"40,41",45N244;45N265,"36,"
Samantha,45.557,281.676,16.9,p,"Ic,P",6050.511,47,45N286,"37,"
Zvereva,45.357,283.12,22.9,f1,P,6050.516,47,45N286,"37,"
Barto,45.336,146.252,48,p,P,6051.373,"21,115",45N138,
Chubado,45.3,5.6,7,p,I,6051.751,14,45N011,
Gentileschi,45.218,260.645,20.5,p,P,6050.901,41,45N265,"36,"
Lebedeva,45.21,49.776,37.4,vs?,P,6051.405,"60,116",45N053,
Prichard,44.9,11.542,23.3,p,P,6051.318,14,45N011,
Pirkko,44.78,254.58,12.3,p,I,6051.079,41,45N265,"36,"
Tahia,44.3,73.7,6.1,p,M,6050.377,126,45N074,
Anaxandra,44.215,162.264,20.4,p,P,6050.697,"30,99",45N159,
Nadira,44.13,201.526,31.4,fc1,P,6051.25,31,45N202,"34,42N198"
Erkeley,43.968,103.343,8,p,M,6051.599,"20,97,61,114",45N096,
Ariadne,43.942,359.972,23.6,p,P,6051.42,"14;12,88",45N011;45N350,
 ,43.8,290.5,1.4,p,I,6051.102,,,
Namiko,43.4,56.2,13,p,"I,P",6050.837,"16,60,116",45N053,
 ,43.333,67.707,3.4,p,I,6050.665,"20,113",45N074,
Ruth,43.275,19.854,18.5,p,P,6051.365,14,45N011,
,43,150.9,2,p,M,6051.087,"30,99",45N159,
Yerguk,42.749,226.785,6.3,p,S,6052.175,37,45N223,"35,42N222"
,42.7,141.7,3.3,p,M,6051.57,"21,115",45N138,
Pasha,42.7,156.3,7.2,p,S,6050.701,"30,99",45N159,
Veta,42.6,349.5,6.4,p,I,6050.546,"12,88",45N350,"40,"
Polina,42.421,148.162,21.6,p,P,6051.22,"21,115;30,99",45N138;45N159,
Zina,41.946,320.067,9,p,I,6050.843,"60,79",45N329,"39,"
Talvikki,41.9,22,12.6,p,P,6051.61,12,45N032,
Taglioni,41.714,122.578,31,f1,P,6051.343,"21,97,79",45N117,
,41.618,308.284,4.3,p,I,6050.44,47,45N307,"38,"
Daphne,41.3,280.4,15.5,p,"Ic,P?",6051.143,47,45N286,"37,"
Mu Guiying,41.181,81.035,32.3,p,"I,P",6051.636,"20,113",45N074,
Kylli,41.1,67,13.2,p,P,6051.315,"20,113",45N074,
Unitkak,40.8,199.5,8,p,P,6051.357,31,45N202,"34,42N210"
Odarka,40.781,138.198,7,p,M,6051.598,"21,115",45N138,
,40.6,65.3,4,p,S,6050.719,"20,113",45N074,
Avene,40.4,149.4,10,p,Ic,6051.084,"21,115;30,99",45N138;45N159,
Khatun,40.317,87.196,44.1,p,P,6053.335,"20,97,61,114",45N096,
,40.276,105.882,4.4,p,I,6051.723,61,45N096,
Jeanne,40.082,331.527,19.4,p,P,6051.257,"47,60,79",45N329,"39,"
Cholpon,40.035,290.004,6.3,p,S,6051.547,47,45N286,"38,"
Heloise,40,51.9,38,vhp1,M,6051.141,"60,116",45N053,
,39.8,289.8,1.3,p,S,6051.587,,,
,39.564,340,2.3,p,M,,,,
Lena,39.5,23,15.2,p,P,6051.278,"12,54,116",45N032,
Anya,39.5,297.8,18.1,p,P,6051.154,47,45N307,"38,"
Aisha,39.296,53.338,10.6,vhp,I,6051.54,"16,60,116",45N053,
,39.152,53.173,3.8,p,S,,"16,62",45N053,
Lenore,38.691,292.201,15.5,p,P,6051.368,47,45N286,"38,"
,38.659,114.672,4.7,p,S,6050.826,"79,97",45N117,
Sasha,38.343,277.792,4.6,f1,I,,45,F40N279,"45,47"
Datsolalee,38.3,171.8,17.5,p,I,6051.536,"30,117",45N180,"33,42N174"
Aigul,38.2,280.4,6,f2,S,6052.991,"45,47",45N286;40N279,
Inga,38.1,226.6,10,p,I,6052.61,37,45N223,"35,42N222"
Piret,37.794,41.723,27,f1,P,6051.283,"54,116",45N032,
,37.7,350.1,2,p,M,6050.397,"12,88",45N350,"40,"
Bly,37.687,305.543,18.7,p,"M,P",6051.084,47,45N307,"38,"
Stina,37.54,22.841,10.4,p,S,6051.698,"12,112,60;12,54,116",30N027;45N032,
,37.5,350.15,2.7,p,Ic,,,,
de Stael,37.387,324.254,25,p,"M,P",6051.047,"48;2,57,79;60,79",30N315;30N333;45N329,"39,"
Olivia,37.221,207.898,10.2,p,P,6051.668,33,30N207,"34,42N210"
 ,36.7,3.6,3.6,p,M,6050.613,12,30N009,
Wilma,36.7,1.7,12.5,p,I,6050.852,12,30N009,"41,?"
Lida,36.6,273.9,20.3,p,P,6052.515,43,30N279,"37,"
Miriam,36.5,48.2,16.5,p,I,6052.473,"57,113",30N045,"43,?"
Birute,36.079,31.964,22.3,p,P,6051.182,"112,60",30N027,"42,?"
Solace,35.934,317.219,5.3,p,S,,,,
Phaedra,35.868,252.729,15.7,p,P,6051.107,40,30N243;30N261,"36,51"
 ,35.849,164.465,3.5,p,M,6051.087,"31,99",30N171,
,35.84,208.601,3.9,p,I,6051.344,33,30N207,
Voynich,35.365,56.138,48.7,p,P,6051.452,"16,113",30N063,"43,"
Hiromi,35.207,287.302,6,p,S,6053.178,43;47,30N279;30N297,"52,"
Patti,35.017,301.591,47,p,P,6051.935,47,30N297,"53,"
Ugne,34.964,205.826,10.3,p,I,6051.137,33,30N207,"49,"
Irina,34.952,91.162,15.2,p,P,6051.417,"20,115;20,97,61,114",30N081;30N099,"44,"
Zuhrah,34.7,357,5.8,p,M,6050.709,"12,88",30N351,55
Moses,34.619,119.9,28,p,P,6051.091,"21,69",30N117,
Ayisatu,34.6,5.5,7,p,S,6050.667,"12,115",30N009,"41,"
Letitia,34.536,288.655,17.5,p,P,6053.328,"43,47",30N279,"53,"
Merian,34.484,76.279,22.2,p,P,6053.176,"20,115",30N0981,"44,"
Melanka,34.4,19.2,9,p,M,6051.287,"12,112,60",30N027,"41,"
Vassi,34.366,346.495,8.5,p,I,6050.771,"12,88",30N351,55
Sanger,33.772,288.563,83.6,f1,D,6053.534,47,30N297,"53,"
Uleken,33.7,185.1,10.9,p,M,6050.973,31,30N189,"48,"
Wazata,33.6,298.3,13.9,p,I,6051.747,47,30N297,"53,"
Noreen,33.573,22.697,18.6,p,P,6051.891,"12,112,60",30N027,"41,"
Sanija,33.064,250.994,18,p,P,6050.997,40,30N243,"51,"
Al-Taymuriyya,32.855,336.149,19,p,P,6051.385,"2,57,79",30N333,55
Yambika,32.6,208.7,6.5,p,P,6051.662,33,30N207,"49,"
Fazu,32.408,106.052,6.1,p,I,6050.73,61,30N099,
Edgeworth,32.205,22.757,29,p,P,6051.636,"12,112,60",30N027,"41,"
Defa,32.2,11.3,8.5,p,I,6051.059,"12,115",30N009,"41,"
Zumrad,32.08,94.791,12.9,p,P,6051.855,"20,97,61,114",30N099,"44,"
,31.643,324.326,2.5,p,S,6050.997,"57,79",30N333,"54,"
Potanina,31.625,53.087,94.2,p,B,6051.895,57;113,30N045;30N063,"43,"
Bernhardt,31.562,84.419,25.3,p,*,6052.443,115,30N081,"44,"
Tsetsa,31.326,317.722,9.9,p,I,6050.925,48,30N315,"54,"
Udyaka,30.9,172.9,7.7,p,M,6051.433,"31,99",30N171,"48,"
Akiko,30.6,187.3,17.4,p,P,6052.133,"31,",30N189,"48,"
Mumtaz-Mahal,30.288,228.435,38.2,f1,P,6051.909,34,30N225,"50,"
Liliya,30.2,31.1,15,p,I,6051.782,"112,60",30N027,"42,"
Nalkuta,30.1,307.8,6.5,p,Ic,6051.151,48,30N315,"53,"
Regina,30,147.265,24.9,p,P,6051.419,"22,116",30N153,
MacDonald,29.992,120.716,17.6,p,Ic,6051.656,"21,69",30N117,
Balch,29.903,282.906,40,f3,P,6054.423,43,30N279,"52,"
Oshalche,29.7,155.5,8.3,p,M,6050.788,"22,116",30N153,
,29.606,135.42,2,p,I,6051.113,"30,114",30N135,
Mukhina,29.527,0.54,24.5,p,P,6051.873,"12,115;12,88",30N009;30N351,"41,"
Frosya,29.491,113.367,9.8,p,I,6050.862,"21,69",30N117,
,29,181.9,4.5,p,M,6051.915,31,30N189,"48,"
Truth,28.676,287.75,47.3,p,P,6053.873,"43,47",30N279,"52,"
Tseraskaya,28.635,79.248,30.3,p,P,6051.675,"20,115",30N081,"44,"
Dafina,28.624,244.146,5.5,p,I,6051.589,40,30N243,"51,"
Halima,28.483,14.603,8.9,p,I,6051.254,"12,115",30N009,"41,"
Vlasta,28.413,250.079,10.7,p,S,6052.008,40,30N243,"51,"
Christie,28.309,72.672,23.3,p,P,6050.565,"16,113;20,115",30N063;30N081,"44,"
Browning,28.279,4.94,23.4,p,P,6051.222,"12,115",30N009,"41,"
Loan,28.26,60.02,7.4,p,M,6051.508,"16,113",30N063,
Saida,28.2,302,9.5,p,Ic,6052.14,47,30N297,"53,"
Nalkowska,28.142,289.953,22.2,p,P,6053.007,47,30N297,"53,"
Antonina,28.115,106.843,13.8,p,P,6050.657,61,30N099,
Iraida,27.8,108.1,6.5,p,I,6050.605,61,30N099,
Raisa,27.5,280.3,13.5,vh,"S,F",6054.604,43,30N279,"52,"
,27.47,86.04,2.9,p,I,6051.545,"20,115",30N081,"44,"
Nutsa,27.469,341.793,8,f1,I,6051.837,"2,57,79;12,88",30N333;30N351,
Barton,27.44,337.494,52.2,p,D,6051.234,"2,57,79",30N333,55
Yeska,27.4,230.1,9.1,p,Ic,6051.803,34,30N225,"50,"
,27.3,277,3,p,Ic,6053.871,43,30N279,"52,"
Degu,27.3,289.8,5.5,p,M,6053.296,47,30N297,"53,"
Lachappelle,26.719,336.702,36.8,p,P,6051.51,"2,57,79",30N333,55
Kafutchi,26.7,16.4,7.1,p,M,6051.496,"12,115",30N009,"41,"
Bachira,26.5,10,7.3,p,I,6050.925,"12,115",30N009,
Roxanna,26.5,334.6,9.5,p,I,6051.048,"2,57,79",30N333,"54,"
Ferber,26.374,12.945,23.1,p,P,6051.07,"12,115",30N009,"41,"
Gautier,26.341,42.819,59.3,vh,"S,F",6051.205,"57,113",30N045,"42,"
Vallija,26.334,120,15.2,p,I,6050.925,"21,69",30N117,
Kumba,26.3,332.7,11.4,p,I,6051.167,"2,57,79",30N333,"54,"
Olga,26.1,283.8,15.5,f2,P,6055.185,43,30N279,"52,"
West,26.072,302.959,28.8,vm1,P,6052.217,47,30N297,"53,"
Bakisat,26,356.8,7.4,p,Ic,6052.46,"12,88",30N351,
Nijinskaya,25.791,122.517,36.2,p,P,6051.13,"21,69",30N117,
Mona Lisa,25.614,25.148,79.4,p,B,6051.544,"12,112,60",30N027,"42,"
Manzolini,25.613,91.347,41.8,p,"Ic,P",6051.868,"20,97,61,114",30N099,"44,"
Lilian,25.6,336,13.5,p,M,6051.278,"2,57,79",30N333,"54,30N330"
Cori,25.438,72.853,56.1,p,D,6050.763,113;20,30N063;30N081,"44,"
Kollwitz,25.175,133.615,29.1,p,P,6051.086,"30,114",30N135,
Tako,25.107,285.274,10.7,p,S?,6054.77,43,30N279,"52,"
O'Keeffe,24.512,228.776,76.9,vs?,"D,F",6052.333,34,30N225,"50,"
Millay,24.43,111.223,48,f1,P,6051.466,"21,69",30N117,
Boleyn,24.415,220.05,70.4,f1,D,6052.227,34,30N225,"50,"
Ul'yana,24.3,253,12.5,p,S,6051.52,40,"30N243,30N261","51,"
Mbul'di,23.8,74.7,6,p,I,6050.635,"20,115",30N081,"59,"
Audrey,23.8,348.1,15.2,p,S,6052.169,"12,88",30N351,70
Li Qingzhao,23.737,94.636,22.8,p,P,6051.642,"20,97,61,114",30N099,"59,"
Caldwell,23.628,112.421,51,p,D,6051.602,"21,69",30N117,
Tubman,23.626,204.568,42.9,f2,P,6051.811,33,30N207,"64,"
Heidi,23.6,350.1,15.2,vh,M,6052.058,"12,88",30N351,70
Qulzhan,23.5,165.4,7.9,p,M,6051.366,"31,99",30N171,
Horner,23.415,97.747,25.2,p,P,6051.271,"20,97,61,114",30N099,
Maria Celeste,23.393,140.38,97.5,p,D,6051.557,"30,114",30N135,
Romanskaya,23.221,178.441,30.4,vs2?,D,6051.659,"31,99",30N171,"63,"
Lullin,23.04,81.274,25.1,p,P,6051.846,20,30N081,"59,"
Greenaway,22.898,145.059,93,p,D,6051.279,"22,116","30N153,15N146",
Corinna,22.8,40.6,19.2,p,P,6051.545,"57,113",30N045,"57,"
Madina,22.729,58.053,6.3,p,I,6051.216,"16,113",30N063,"58,"
Ayashe,22.7,31.4,6.7,vs,I,6051.318,"112,60",30N027,"57,"
,22.6,94.1,3,p,I,6051.398,"20,97,61,114",30N099,"59,"
Reiko,22.6,192.1,9.7,p,S,6052.233,31,30N189,"64,"
Wendla,22.52,207.628,5.7,p,S,6051.814,33,30N207,"64,"
Annia Faustina,22.075,4.705,23.4,p,P,6051.811,"14,116",15N009,"56,"
Karo,21.9,37.2,7,p,S,6051.962,57,15N043,"57,"
Tussaud,21.726,220.957,16,p,I,6051.608,34,15N215,"65,"
du Chatelet,21.5,165,18.5,p,*,6051.655,31,15N163,
Callirhoe,21.229,140.685,33.8,p,P,6051.477,"22,116",15N146,
Tekarohi,21.223,76.483,9.3,p,P,6051.697,"19,78,113",15N077,"59,"
Yazruk,21.193,160.223,10.4,p,M,6051.04,"31,99",15N163,
Bourke-White,21.167,147.931,33.6,p,P,6050.771,"22,116",15N146,
Kiris,20.9,98.8,13.3,p,S,6051.59,"19,112,89,115",15N095,
